tid,sid,strategy_name,trader_code,holding_days,last_check,open_price,open_date,long_short,shares,close_date,close_price,pnl,tax,fee
91439,6416,ITFollow,001,30,2022-12-16,88.11115791826307,2019-02-27,long,1.0,2019-04-15,80.50316637110383,-9.07,241.51,144.17
91440,6416,ITFollow,001,30,2022-12-16,84.24067032650451,2019-09-05,long,1.0,2019-10-22,80.5418483582716,-4.84,241.63,140.89
91441,6416,ITFollow,001,30,2022-12-16,104.9540733486088,2020-01-17,long,1.0,2020-03-10,117.43759749139488,11.38,352.31,190.14
91442,6416,ITFollow,001,30,2022-12-16,115.58818650727842,2020-04-17,long,1.0,2020-05-29,128.0717106500645,10.29,384.22,208.33
91443,6416,ITFollow,001,30,2022-12-16,136.85641282461765,2020-06-19,long,1.0,2020-08-03,141.4864250793916,2.9,424.46,237.98
91444,6416,ITFollow,001,30,2022-12-16,148.08912491642988,2020-08-05,long,1.0,2020-09-15,130.6391324899716,-12.21,391.92,238.31
91445,6416,ITFollow,001,30,2022-12-16,162.23776742436903,2021-04-13,long,1.0,2021-05-25,108.00130447726892,-33.77,324.0,231.05
91446,6416,ITFollow,001,20,2022-12-16,96.0,2022-11-21,long,1.0,,,-5.35,,
91447,6426,ITFollow,001,0,2022-12-16,,,,,,,,,
91448,6431,ITFollow,001,0,2022-12-16,,,,,,,,,
91449,6438,ITFollow,001,30,2022-12-16,85.60710917030568,2021-01-20,long,1.0,2021-03-12,90.89849781659389,5.69,272.7,150.91
91450,6438,ITFollow,001,30,2022-12-16,111.02467248908297,2022-01-11,long,1.0,2022-03-03,116.22157205240174,4.19,348.66,194.3
91451,6438,ITFollow,001,0,2022-12-16,,,,,,,,,
91452,6442,ITFollow,001,0,2022-12-16,,,,,,,,,
91453,6443,ITFollow,001,0,2022-12-16,,,,,,,,,
91454,6449,ITFollow,001,30,2022-12-16,49.25950684683913,2018-01-25,long,1.0,2018-03-16,52.54347396996174,6.17,157.63,87.04
91455,6449,ITFollow,001,30,2022-12-16,53.200267394586255,2018-04-17,long,1.0,2018-05-29,63.99971804656203,19.75,192.0,100.21
